"txid","ordertxid","pair","aclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","costusd","trades"
"TYWCP6-JFAWE-76QCSB","ODGB7C-WAGZC-3YR7BE","SOL/USD","forex","2024-09-02 02:25:03.9278","buy","market",130.04000,2.60080,0.01040,0.02000000,0.00000,"initiated","L7KHPB-IEVSZ-X6O3AO,LHB26W-2K2HN-EWNCCK","TKH2SE-M7IF5-CFI7LT","","","","","","","",2.60080,""
"TDMH26-OUR3E-DXCYGZ","OL5XTH-ZLFIY-HTC2RE","SOL/USD","forex","2024-09-02 02:37:04.1982","buy","market",128.63000,2.57260,0.01029,0.02000000,0.00000,"initiated","L2HYA2-NYHTI-L4UKLW,LZDNNS-374IT-OPPEZI","TKH2SE-M7IF5-CFI7LT","","","","","","","",2.57260,""
"T2WIDS-OFZCW-NXLIVT","OTSFZU-FYRZQ-4YCH47","SOL/USD","forex","2024-09-02 02:40:03.928","buy","market",128.59000,2.57180,0.01029,0.02000000,0.00000,"initiated","L7432N-ZCF2O-RQE6D3,L6TGY4-36OQ5-3ERPXC","TKH2SE-M7IF5-CFI7LT","","","","","","","",2.57180,""
"TDEQTI-PILTF-X3SSPE","OR2OXV-TVESV-J4BXVG","SOL/USD","forex","2024-09-02 02:43:03.6975","buy","market",128.74000,2.57480,0.01030,0.02000000,0.00000,"initiated","LHIKQQ-L6W5E-LSV3WN,LQ6UXE-4YBB3-5JLO7Y","TKH2SE-M7IF5-CFI7LT","","","","","","","",2.57480,""
"T5KQU3-ZJ5BQ-K7AYFV","O2AMLM-ISK4J-HU47NC","SOL/USD","forex","2024-09-02 02:43:07.4977","sell","market",128.73000,7.72380,0.03090,0.06000000,0.00000,"initiated","L7QCCZ-6CTNM-PJKOBI,LIKZIQ-XQQDH-SQGYJU","TKH2SE-M7IF5-CFI7LT","","","","","","","",7.72380,""
"TJNZK2-TQC4Y-L26OMB","OIR5Z7-VFYFJ-ZMMCO4","SOL/USD","forex","2024-09-02 02:44:02.9447","sell","market",128.83000,2.57660,0.01031,0.02000000,0.00000,"initiated","LUC6CY-RZNDL-V5OLNU,LJHJNG-SBHEX-KWZQBU","TKH2SE-M7IF5-CFI7LT","","","","","","","",2.57660,""
"T7K5YE-WM4NQ-LT2ENW","OOKQ4U-MEEC2-WJWSAD","SOL/USD","forex","2024-09-02 02:45:03.4552","buy","market",128.97000,2.57940,0.01032,0.02000000,0.00000,"initiated","LYPGTJ-BGL4V-MWVBBO,LSGVP7-37LK4-BJD2ER","TKH2SE-M7IF5-CFI7LT","","","","","","","",2.57940,""
"TTXKSM-C7OSW-7ZBIXS","OTJUU7-Y4OQK-HQ7GZY","SOL/USD","forex","2024-09-02 02:49:03.951","buy","market",129.03000,2.58060,0.01032,0.02000000,0.00000,"initiated","L5HG6T-BI6XA-TAFKCS,LKEHMA-OFGV6-BEHMLK","TKH2SE-M7IF5-CFI7LT","","","","","","","",2.58060,""
"THLERN-S4DCK-R2GHLU","OIOQKO-HMUYU-BODSAN","SOL/USD","forex","2024-09-02 02:49:05.6981","sell","market",129.02000,2.58040,0.01032,0.02000000,0.00000,"initiated","LJM7EU-OD56O-CBEU56,LJEF5D-3UTT3-33OWG2","TKH2SE-M7IF5-CFI7LT","","","","","","","",2.58040,""
"TLA6PA-NA7N6-BRBONE","OL4WGF-NPI3D-ATT2LX","SOL/USD","forex","2024-09-02 02:52:03.4107","buy","market",128.97000,2.57940,0.01032,0.02000000,0.00000,"initiated","LUHBKU-JSM7X-Y4R2P3,LVEQRN-YCIZG-GCEKH2","TKH2SE-M7IF5-CFI7LT","","","","","","","",2.57940,""
